epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
172,172,,,,1.0,0.004539334215223789
173,173,,,0.004142874851822853,,
173,173,,,,1.0,0.004451952874660492
174,174,,,0.004059795755892992,,
174,174,,,,1.0,0.004368975758552551
175,175,,,0.003980941139161587,,
175,175,,,,1.0,0.004290026146918535
176,176,,,0.003905952675268054,,
176,176,,,,1.0,0.004214764107018709
177,177,,,0.0038345379289239645,,
177,177,,,,1.0,0.00414289953187108
178,178,,,0.0037664880510419607,,
178,178,,,,1.0,0.0040741609409451485
179,179,,,0.003701453795656562,,
179,179,,,,1.0,0.00400830153375864
180,180,,,0.00363920908421278,,
180,180,,,,1.0,0.003945094533264637
181,181,,,0.0035795937292277813,,
181,181,,,,1.0,0.003884358797222376
182,182,,,0.0035223145969212055,,
182,182,,,,1.0,0.0038258994463831186
183,183,,,0.0034672983456403017,,
183,183,,,,1.0,0.003769578179344535
184,184,,,0.0034143307711929083,,
184,184,,,,1.0,0.0037152268923819065
185,185,,,0.003363333409652114,,
185,185,,,,1.0,0.0036627347581088543
186,186,,,0.0033141341991722584,,
186,186,,,,1.0,0.003611959284171462
187,187,,,0.003266512183472514,,
187,187,,,,1.0,0.00356281828135252
188,188,,,0.0032205781899392605,,
188,188,,,,1.0,0.0035152023192495108
189,189,,,0.003176074242219329,,
189,189,,,,1.0,0.003469025483354926
190,190,,,0.0031329889316111803,,
190,190,,,,1.0,0.0034241974353790283
191,191,,,0.003091224702075124,,
191,191,,,,1.0,0.0033806655555963516
192,192,,,0.0030505345202982426,,
192,192,,,,1.0,0.0033383432310074568
193,193,,,,1.0,0.0031133932061493397
193,193,1.0,0.003178437240421772,,,
